Create worker:20290,-1 restart 7 03:31:28
worker:4485exited,-1 restart 2 03:35:22
Create worker:21395,-1 restart 2 03:35:22
worker:15429exited,-1 restart 20 03:44:12
Create worker:24234,-1 restart 20 03:44:12
worker:1964exited,-1 restart 4 03:57:37
Create worker:28159,-1 restart 4 03:57:37
worker:24234exited,-1 restart 20 03:59:29
Create worker:28672,-1 restart 20 03:59:29
worker:1992exited,-1 restart 14 04:02:04
Create worker:29339,-1 restart 14 04:02:05
worker:8896exited,-1 restart 6 04:05:03
Create worker:30134,-1 restart 6 04:05:03
worker:17506exited,-1 restart 16 04:11:33
Create worker:31806,-1 restart 16 04:11:33
worker:28842exited,-1 restart 17 04:15:31
Create worker:366,-1 restart 17 04:15:31
worker:28159exited,-1 restart 4 04:29:02
Create worker:4231,-1 restart 4 04:29:02
worker:18352exited,-1 restart 19 04:36:47
Create worker:6673,-1 restart 19 04:36:47
worker:366exited,-1 restart 17 04:39:46
Create worker:7613,-1 restart 17 04:39:46
worker:31679exited,-1 restart 1 04:44:21
Create worker:9164,-1 restart 1 04:44:21
worker:16713exited,-1 restart 9 04:47:14
Create worker:9927,-1 restart 9 04:47:14
worker:6673exited,-1 restart 19 04:48:56
Create worker:10399,-1 restart 19 04:48:56
worker:10399exited,-1 restart 19 04:55:12
Create worker:12480,-1 restart 19 04:55:12
worker:31806exited,-1 restart 16 04:55:26
Create worker:12560,-1 restart 16 04:55:26
worker:12480exited,-1 restart 19 05:02:01
Create worker:14365,-1 restart 19 05:02:01
worker:29339exited,-1 restart 14 05:03:03
Create worker:14708,-1 restart 14 05:03:03
worker:8029exited,-1 restart 3 05:10:38
Create worker:16773,-1 restart 3 05:10:38
worker:14365exited,-1 restart 19 05:11:21
Create worker:16918,-1 restart 19 05:11:21
worker:28672exited,-1 restart 20 05:12:01
Create worker:17078,-1 restart 20 05:12:01
worker:14708exited,-1 restart 14 05:19:14
Create worker:19447,-1 restart 14 05:19:14
worker:9927exited,-1 restart 9 05:20:49
Create worker:20033,-1 restart 9 05:20:49
worker:4231exited,-1 restart 4 05:29:28
Create worker:22766,-1 restart 4 05:29:28
worker:23937exited,-1 restart 12 05:33:36
Create worker:24071,-1 restart 12 05:33:36
worker:16918exited,-1 restart 19 05:41:45
Create worker:26255,-1 restart 19 05:41:45
worker:20033exited,-1 restart 9 05:42:05
Create worker:26334,-1 restart 9 05:42:05
worker:9164exited,-1 restart 1 05:45:02
Create worker:27212,-1 restart 1 05:45:02
worker:12560exited,-1 restart 16 05:46:43
Create worker:27617,-1 restart 16 05:46:43
worker:26334exited,-1 restart 9 05:48:57
Create worker:28236,-1 restart 9 05:48:57
worker:13162exited,-1 restart 8 05:49:01
Create worker:28250,-1 restart 8 05:49:01
worker:23849exited,-1 restart 10 05:56:53
Create worker:30581,-1 restart 10 05:56:53
worker:7613exited,-1 restart 17 05:57:59
Create worker:30818,-1 restart 17 05:57:59
worker:12519exited,-1 restart 13 06:06:37
Create worker:765,-1 restart 13 06:06:37
worker:24071exited,-1 restart 12 06:08:03
Create worker:1138,-1 restart 12 06:08:03
worker:27617exited,-1 restart 16 06:09:24
Create worker:1568,-1 restart 16 06:09:24
worker:17078exited,-1 restart 20 06:14:32
Create worker:3288,-1 restart 20 06:14:32
worker:3012exited,-1 restart 15 06:14:47
Create worker:3363,-1 restart 15 06:14:47
worker:26255exited,-1 restart 19 06:14:57
Create worker:3402,-1 restart 19 06:14:57
worker:765exited,-1 restart 13 06:17:00
Create worker:3969,-1 restart 13 06:17:00
worker:30818exited,-1 restart 17 06:20:49
Create worker:5002,-1 restart 17 06:20:49
worker:5002exited,-1 restart 17 06:28:48
Create worker:7513,-1 restart 17 06:28:48
worker:16773exited,-1 restart 3 06:34:52
Create worker:9389,-1 restart 3 06:34:52
worker:27212exited,-1 restart 1 06:35:29
Create worker:9557,-1 restart 1 06:35:29
worker:18195exited,-1 restart 11 06:37:34
Create worker:10202,-1 restart 11 06:37:34
worker:3969exited,-1 restart 13 06:38:17
Create worker:10399,-1 restart 13 06:38:17
worker:20290exited,-1 restart 7 06:41:56
Create worker:11662,-1 restart 7 06:41:56
worker:21395exited,-1 restart 2 06:43:32
Create worker:12183,-1 restart 2 06:43:32
worker:28236exited,-1 restart 9 06:44:42
Create worker:12568,-1 restart 9 06:44:42
worker:22766exited,-1 restart 4 06:44:55
Create worker:12636,-1 restart 4 06:44:55
worker:28507exited,-1 restart 18 06:47:07
Create worker:13399,-1 restart 18 06:47:07
worker:30134exited,-1 restart 6 06:48:11
Create worker:13732,-1 restart 6 06:48:11
worker:13732exited,-1 restart 6 06:50:18
Create worker:14355,-1 restart 6 06:50:18
worker:17443exited,-1 restart 5 06:55:49
Create worker:16206,-1 restart 5 06:55:49
worker:13399exited,-1 restart 18 07:00:12
Create worker:17711,-1 restart 18 07:00:12
worker:28250exited,-1 restart 8 07:00:24
Create worker:17765,-1 restart 8 07:00:24
worker:14355exited,-1 restart 6 07:05:32
Create worker:19404,-1 restart 6 07:05:32
worker:11662exited,-1 restart 7 07:13:08
Create worker:21567,-1 restart 7 07:13:08
worker:19404exited,-1 restart 6 07:13:22
Create worker:21653,-1 restart 6 07:13:22
worker:17765exited,-1 restart 8 07:14:46
Create worker:22070,-1 restart 8 07:14:46
worker:1138exited,-1 restart 12 07:16:52
Create worker:22720,-1 restart 12 07:16:52
worker:10399exited,-1 restart 13 07:19:38
Create worker:23633,-1 restart 13 07:19:38
worker:3288exited,-1 restart 20 07:20:11
Create worker:23838,-1 restart 20 07:20:11
worker:12183exited,-1 restart 2 07:22:02
Create worker:24470,-1 restart 2 07:22:02
worker:30581exited,-1 restart 10 07:26:36
Create worker:25983,-1 restart 10 07:26:36
worker:10202exited,-1 restart 11 07:33:48
Create worker:28213,-1 restart 11 07:33:48
worker:28213exited,-1 restart 11 07:37:54
Create worker:29333,-1 restart 11 07:37:54
worker:17711exited,-1 restart 18 07:40:16
Create worker:30069,-1 restart 18 07:40:16
worker:29333exited,-1 restart 11 07:41:30
Create worker:30441,-1 restart 11 07:41:30
worker:3402exited,-1 restart 19 07:42:12
Create worker:30666,-1 restart 19 07:42:12
worker:22720exited,-1 restart 12 07:45:44
Create worker:31798,-1 restart 12 07:45:44
worker:23838exited,-1 restart 20 07:47:06
Create worker:32239,-1 restart 20 07:47:06
worker:7513exited,-1 restart 17 07:52:48
Create worker:1753,-1 restart 17 07:52:48
worker:30441exited,-1 restart 11 07:56:40
Create worker:3157,-1 restart 11 07:56:40
worker:22070exited,-1 restart 8 07:59:28
Create worker:4083,-1 restart 8 07:59:28
worker:9389exited,-1 restart 3 07:59:41
Create worker:4163,-1 restart 3 07:59:41
worker:4083exited,-1 restart 8 08:05:43
Create worker:6212,-1 restart 8 08:05:43
worker:3363exited,-1 restart 15 08:11:01
Create worker:7837,-1 restart 15 08:11:01
worker:24470exited,-1 restart 2 08:11:49
Create worker:8086,-1 restart 2 08:11:49
worker:12636exited,-1 restart 4 08:14:06
Create worker:8719,-1 restart 4 08:14:06
worker:19447exited,-1 restart 14 08:20:25
Create worker:10496,-1 restart 14 08:20:25
worker:10496exited,-1 restart 14 08:23:28
Create worker:11464,-1 restart 14 08:23:28
worker:9557exited,-1 restart 1 08:23:37
Create worker:11525,-1 restart 1 08:23:37
worker:21567exited,-1 restart 7 08:28:11
Create worker:12798,-1 restart 7 08:28:11
worker:8086exited,-1 restart 2 08:31:30
